,student id,student Name,Course
0,41,Alexander,coumputer
1,87,Amelia,User Experience (UX) Design
2,791,Amr,Marketing
3,275,Eman,Entrepreneurship
4,28,Emily,English Literature
5,65,Emma,Software Engineering
6,926,Farid,Broadcast Journalism
7,492,Farida,Marketing
8,198,Ghassan,3D Animation
9,599,Hadeel,3D Animation
10,365,Hamza,Information Technology
11,176,Hoda,Entrepreneurship
12,472,Hossam,Human Resource Management
13,34,Jane,Mathematics
14,76,John,Computer Science
15,75,Khalil,E-Commerce
16,267,Leila,Supply Chain Management
17,385,Marwan,Advertising
18,254,Mona,Broadcast Journalism
19,167,Nabil,Graphic Design
20,138,Nada,Computer Science
21,945,Nidal,Business Administration
22,164,Noah,Machine Learning
23,18,Omar,Marketing
24,672,Osama,Film Production
25,942,Rola,Sound Engineering
26,374,Samir,Print Journalism
27,687,Samira,Motion Graphics
28,112,Sarah,Economics
29,246,Sherif,Urban Planning
30,94,Sophia,Big Data
31,256,Wael,Video Production
32,145,Walaa,Cybersecurity
33,458,Yasmin,User Experience Design
34,345,abdelfattah,Mining Engineering
35,100,abdo,media
36,5,ahmed,Petrol Engineering
37,95,amin,Computer Science
38,6,feras,medical technology
39,4,fizo,electronic Engineering
40,1,himo,Software Engineering
41,32,lucas,Nuclear Engineering
42,67,maryam,nursing
43,145,mia ,markting
44,149,mostafa,project mangment 
45,7,saif,Physics
46,648,sam,Materials Engineering
47,26,sana,Accounting
48,45,sofia,cyber security
49,23,talal,computer scince
50,3,zaid,Nuclear engineering
